Category,Name,Price (INR),Discount (%),Rating,Sold By
ref=zg_bs_nav_shoes_0,VRITRAZ Women's Comfort Slip On Closed Toe Warm Winter House Clog Indoor Slipper,649.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Centrino Mens 3392 Causal Shoes | Loafers | Moccasins | Lighweight Slip-On's | Soft Cushioned Insole | Trendy Non Lace-up Deisgn | Stylish & Comfortable,799.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Men's Classic Casual Clogs/Sandals with Adjustable Back Strap for Adult | Comfortable & Light Weight | Stylish & Anti-Skid | Waterproof & Daily Mules for Gents/Boys D-501,799.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"SNEAKARE Quick Shoe Cleaning Kit Shoe Cleaner & Medium Bristle Shoe Brush, White Shoe Cleaning Kit, Shoe Cleaner Kit For Sneaker,Sports Shoe Cleaner Foam Spray",299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT House Slipper for Women's Care |Orthopaedic | Diabetic | Acupressure | Comfortable | MCR | Flip-Flop Ladies and Girl’s Home Slides for Daily Use D-20,399.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,BRUTON EVA Lite Sport Shoes Running Shoes for Men- Blue,499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Fargo Stylish Textured Sling Bag for Women Ladies purse for women & girls,129.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Lightweight Memory Foam Women's Shoes | Walking,Gym,Training,Running,Casual,Sports,Athletics| Stylish,Flexible,Comfortable| Slip-On,Loafers,Lace-up,Sneaker for Ladies & Girls D-1004",899.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Women's Classic Ultra Soft Sliders/Slippers with Cushion FootBed for Adult | Comfortable & Light Weight| Stylish & Anti-Skid| Waterproof & Everyday Flip Flops for Ladies/Girls D-508,599.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"ASIAN F-04 Running Shoes,Gym Shoes,Training Shoes,Walking Shoes,Sports Shoes for Men…",579.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,SPARX Men's Sport Sandal,698.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,YOHO Bubbles Men Ortho slippers | Soft comfortable and stylish flip flop slippers for Men in exciting colors |Lightweight | Anti Skid | Daily Use Chappal,490.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ADISA Women's Girls Cross Body Sling Bag with Pouch,499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Cherry Blossom Sports Shoe Cleaner With Free Brush - 75Ml | Cleans All Non-Leather Shoes In Minutes, White",129.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Mens Shuttle Walking Shoe,749.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ADISA Unicorn Toddler Bag Princess Fur Crossbody Handbags Gift for Girls,291.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Slipper Care Orthopaedic and Diabetic Super Fit Comfort Doctor Slipper, Dr. Slipper, Flip-Flop, Slides and House Slipper for Men's D-24",499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Nike Mens Revolution 7 Men's Road Running Shoes Running Shoes,2808.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Storite Women's Tote Bag With Leather Handles & Embroidery Printed Handbag With Zip Pockets, Shoulder Tote Bag And Handbag For Office And College (30x25x9.5Cm), Multicolor",498.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR HEALTH SUPER SOFT Women's Classic Ultra Soft Flip Flops with Cushion Footbed for Adult | Comfortable & Light Weight | Stylish & Anti-Skid | Waterproof & Everyday Slip-on for Ladies,399.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Men's Classic Casual Sports Clogs/Sandals with Adjustable Back Strap for Adult | Comfortable & Lightweight| Stylish & Anti-Skid| Waterproof & Everyday Use Mules for Gents/Boys D-513,1299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bata 8316 Max Black Oxford Shoes for Men|Birthday Parties|Family Gatherings|School Performances|Flexible|Other Occasions,948.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Rushwak Shoe Wipes (80 + 80 Wipes) Sneaker Wipes Instant Sneaker Cleaner Shoe Cleaning Wipes Sneaker Wipes for Shoes Quick Remove Dirt Stain Shoe Cleaner Wipes Shoe Wipes for Sneakers Cleaning Kit,299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Men's First Running Shoe,1119.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",179.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",649.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)",1799.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",399.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",495.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),279.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",290.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",129.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",649.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",309.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"HP v236w USB 2.0 64GB Pen Drive,",399.00,33.33,Not Available,Not Available
ref=zg_bs_nav_computers_0,"Mi Xiaomi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compatible withMi, Redmi, iPhone 15 Pro Samsung Galaxy Android Phone Laptop PD Charger Cable (White)",219.00,33.33,Not Available,Not Available
